MouseID,0-frame-rel,0-frame-abs,0-bout-avglen,0-bout-freq,1-bout-avglen,1-bout-freq,1-frame-abs,1-frame-rel,10-bout-avglen,10-bout-freq,10-frame-abs,10-frame-rel,11-bout-avglen,11-bout-freq,11-frame-abs,11-frame-rel,12-bout-avglen,12-bout-freq,12-frame-abs,12-frame-rel,13-bout-avglen,13-bout-freq,13-frame-abs,13-frame-rel,14-bout-avglen,14-bout-freq,14-frame-abs,14-frame-rel,2-bout-avglen,2-bout-freq,2-frame-abs,2-frame-rel,3-bout-avglen,3-bout-freq,3-frame-abs,3-frame-rel,4-bout-avglen,4-bout-freq,4-frame-abs,4-frame-rel,5-bout-avglen,5-bout-freq,5-frame-abs,5-frame-rel,6-bout-avglen,6-bout-freq,6-frame-abs,6-frame-rel,7-bout-avglen,7-bout-freq,7-frame-abs,7-frame-rel,8-bout-avglen,8-bout-freq,8-frame-abs,8-frame-rel,9-bout-avglen,9-bout-freq,9-frame-abs,9-frame-rel,Strain
LL4-3_005314-F-AX5-9-42423-5-S137,0.047643305022738,5144,13.257731958762887,388.0,17.050526315789472,475.0,8099.0,0.0750122720410488,29.86245353159851,269.0,8033.0,0.074400985468051,63.12592592592593,135.0,8522.0,0.0789300632588983,20.53164556962025,79.0,1622.0,0.0150228306273096,13.922222222222222,90.0,1253.0,0.0116051829691856,31.96385542168675,415.0,13265.0,0.122859339254786,39.79611650485437,103.0,4099.0,0.0379646009502727,29.357558139534884,344.0,10099.0,0.0935361075864368,17.64724409448819,635.0,11206.0,0.1037890505608091,41.84304932735426,223.0,9331.0,0.0864229547370078,11.396946564885496,393.0,4479.0,0.0414841297038964,15.898305084745765,295.0,4690.0,0.0434383943539349,27.885826771653544,508.0,14166.0,0.1312043271679834,30.00757575757576,132.0,3961.0,0.0366864562976409,TALLYHO/JngJ
LL2-4_000674-F-AX18-5-42726-2-S393,0.0079004158601079,853,6.6640625,128.0,11.862068965517242,58.0,688.0,0.0063721994276134,24.700854700854705,117.0,2890.0,0.0267669423630857,38.25188916876574,397.0,15186.0,0.1406514832961313,10.54054054054054,74.0,780.0,0.0072242958627013,11.977777777777778,180.0,2156.0,0.0199686947179282,21.46857142857143,175.0,3757.0,0.0347970250720114,23.50769230769231,65.0,1528.0,0.0141522103566764,168.68321513002363,423.0,71353.0,0.660865618835036,8.38425925925926,216.0,1811.0,0.0167733330863488,15.185714285714283,140.0,2126.0,0.0196908371847474,6.816666666666666,120.0,818.0,0.0075762487380637,10.966666666666669,60.0,658.0,0.0060943418944326,25.59090909090909,88.0,2252.0,0.0208578388241069,18.24590163934426,61.0,1113.0,0.0103085144810084,I/LnJ
LL2-3_100003-M-AX28-8-42402-7,0.0356491215070992,3849,11.734756097560975,328.0,16.222410865874362,589.0,9555.0,0.0884976243180913,34.95695364238411,302.0,10557.0,0.0977780659263307,36.46666666666667,135.0,4923.0,0.0455964211949726,18.79357798165137,218.0,4097.0,0.0379460771147273,18.645768025078368,319.0,5948.0,0.0550898869119839,28.251716247139587,437.0,12346.0,0.1143476368216803,28.37606837606837,117.0,3320.0,0.0307495670053441,21.468834688346885,369.0,7922.0,0.0733729125952819,14.603305785123966,726.0,10602.0,0.0981948522261019,56.416058394160586,137.0,7729.0,0.071585362465152,11.549295774647888,497.0,5740.0,0.0531634080152636,15.03485254691689,373.0,5608.0,0.051940834869268,28.899543378995435,438.0,12658.0,0.1172373551667608,35.0,89.0,3115.0,0.0288508738619418,CAF1/J
LL4-1_005314-F-AX5-9-42423-3-S137,0.0301382804323463,3254,13.06827309236948,249.0,19.299479166666668,384.0,7411.0,0.0686400726134353,117.21153846153848,208.0,24380.0,0.22580555529828,23.7887323943662,213.0,5067.0,0.0469301373542405,15.296296296296296,81.0,1239.0,0.0114755161203678,10.555555555555555,81.0,855.0,0.0079189396956533,59.54929577464789,213.0,12684.0,0.1174781650288508,26.49271137026239,343.0,9087.0,0.0841630468004705,20.88372093023256,215.0,4490.0,0.0415860107993961,11.564516129032258,372.0,4302.0,0.0398447702581296,73.07058823529412,85.0,6211.0,0.0575257712862025,12.64985994397759,357.0,4516.0,0.0418268206614861,16.494464944649447,271.0,4470.0,0.0414007724439422,29.94087403598972,389.0,11647.0,0.1078735562985671,38.68518518518518,216.0,8356.0,0.0773925849086311,TALLYHO/JngJ
LL5-2_000669-F-AX10-5.28571428571429-42794-2-S404,0.0974631607220591,10523,9.72550831792976,1082.0,8.55066530194473,977.0,8354.0,0.0773740610730858,7.452662721893491,338.0,2519.0,0.0233307708694162,24.692307692307693,26.0,642.0,0.0059461512100695,7.629989212513484,1854.0,14146.0,0.1310190888125295,9.584826132771338,1898.0,18192.0,0.1684928081208495,13.239506172839508,405.0,5362.0,0.0496624030971853,6.4777448071216615,337.0,2183.0,0.020218766497791,9.611570247933884,363.0,3489.0,0.0323148311089294,8.033408833522083,1766.0,14187.0,0.1313988274412099,38.47727272727273,44.0,1693.0,0.0156804267891709,7.682854311199207,1009.0,7752.0,0.071798386573924,9.542222222222222,900.0,8588.0,0.0795413498318961,11.305288461538462,832.0,9406.0,0.0871175985699598,3.417582417582417,273.0,933.0,0.0086413692819235,C58/J
LL1-4_NZB_F,0.0363067176689605,3920,12.686084142394822,309.0,21.309248554913296,346.0,7373.0,0.0682881197380729,36.41142857142857,175.0,6372.0,0.0590169400476062,51.66321243523316,193.0,9971.0,0.092350582111532,17.451327433628318,113.0,1972.0,0.0182645018477525,20.359550561797757,89.0,1812.0,0.0167825950041215,48.31875,160.0,7731.0,0.0716038863006974,369.0,35.0,12915.0,0.1196176680343431,30.612765957446808,235.0,7194.0,0.0666302364567607,26.89107142857143,560.0,15059.0,0.1394752197389991,57.48951048951049,143.0,8221.0,0.0761422260093174,13.433098591549296,284.0,3815.0,0.0353342163028276,14.255060728744938,247.0,3521.0,0.0326112124776556,27.82558139534884,344.0,9572.0,0.0886550769202271,315.5925925925926,27.0,8521.0,0.0789208013411257,NZB/BlNJ
LL5-4_PL_F,0.1430040104103955,15440,10.48913043478261,1472.0,12.069860279441118,501.0,6047.0,0.0560068167714807,22.933333333333334,60.0,1376.0,0.0127443988552269,136.375,8.0,1091.0,0.0101047522900091,12.023809523809524,126.0,1515.0,0.0140318054256314,8.993377483443709,151.0,1358.0,0.0125776843353184,17.56875,480.0,8433.0,0.0781057525771286,107.1875,16.0,1715.0,0.0158841889801702,47.0377358490566,53.0,2493.0,0.0230899610073261,8.794019933554818,602.0,5294.0,0.0490325926886421,55.35714285714285,28.0,1550.0,0.0143559725476757,9.376012965964344,1234.0,11570.0,0.1071603886300697,12.850187265917604,267.0,3431.0,0.0317776398781131,24.496465470364328,1839.0,45049.0,0.4172401337420926,43.43243243243244,37.0,1607.0,0.0148839018607192,PL/J
LL5-4_000656-M-MP13-10-42423-10-S152,0.0557752688271633,6022,9.937293729372938,606.0,15.104635761589403,755.0,11404.0,0.1056229102798025,31.53333333333333,285.0,8987.0,0.0832368550232011,66.55952380952381,84.0,5591.0,0.0517833822671322,13.579545454545457,176.0,2390.0,0.0221359834767386,17.11627906976744,215.0,3680.0,0.0340838574035139,24.944827586206895,435.0,10851.0,0.1005010697515027,63.48888888888889,45.0,2857.0,0.0264612990765867,28.519736842105264,304.0,8670.0,0.0803008270892571,12.26086956521739,1219.0,14946.0,0.1384286230306847,43.15384615384615,91.0,3927.0,0.0363715510933693,9.06446776611694,667.0,6046.0,0.055997554853708,14.749529190207156,531.0,7832.0,0.0725393399957395,18.799185888738126,737.0,13855.0,0.1283238707406755,27.60606060606061,33.0,911.0,0.0084376070909242,CBA/J
LL2-3_100003-F-AX28-10-42409-7-S118,0.0297029702970297,3207,9.544642857142858,336.0,13.879310344827584,348.0,4830.0,0.044735062842112,29.83809523809524,210.0,6266.0,0.0580351767637006,41.75,4.0,167.0,0.0015467402680399,19.666666666666668,183.0,3599.0,0.0333336420639257,13.307901907356948,367.0,4884.0,0.0452352064018375,43.2274741506647,677.0,29265.0,0.2710500236178903,21.97142857142857,35.0,769.0,0.0071224147672016,37.11627906976744,559.0,20748.0,0.1921662699478554,23.68095838587642,793.0,18779.0,0.1739295538534208,18.084269662921347,178.0,3219.0,0.029814113310302,8.984162895927602,442.0,3971.0,0.0367790754753679,12.948979591836734,196.0,2538.0,0.0235067473070974,20.14354066985646,209.0,4210.0,0.0389926738230418,24.868852459016395,61.0,1517.0,0.0140503292611768,CAF1/J
LL4-1_100011-F-AX27-9-42423-3-S139,0.0929155590956663,10032,12.69873417721519,790.0,14.71549636803874,826.0,12155.0,0.1125786105270957,26.624338624338623,189.0,5032.0,0.0466059702321962,77.37037037037037,27.0,2089.0,0.0193481462271577,18.4683908045977,348.0,6427.0,0.0595263455251044,15.047430830039524,506.0,7614.0,0.0705202419212922,21.24950884086444,509.0,10816.0,0.1001769026294584,9.833333333333334,6.0,59.0,0.0005464531485889,13.620689655172416,319.0,4345.0,0.0402430327223554,11.166453265044815,1562.0,17442.0,0.161546369791329,34.96666666666667,150.0,5245.0,0.0485787587177801,9.962800875273524,914.0,9106.0,0.0843390232381516,13.953177257525084,598.0,8344.0,0.0772814418953588,13.38038632986627,673.0,9005.0,0.0834035695431096,21.5,12.0,258.0,0.002389574785355,B6CBAF1/J
